created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Sep 19 04:40:12 +0000 2023;1703992360806572251;"Jog ada yang uda pernah nemuin sosis keju indomaret blm di area ugm uny? Spill dong tempatnya";0;1;0;3;in;420821783;1703992360806572251;jogmfs;https://twitter.com/jogmfs/status/1703992360806572251
Tue Sep 19 00:12:00 +0000 2023;1703924869149364695;"/unej/ info dong indomaret di Jember yg ada sosis keju muncrat, lagi pengen bangett. Kemarin ke 2 indomaret fresh tegalbesar sana semanggi ga ada😭😭🙏🏽";0;9;0;3;in;1281746379283369986;1703924869149364695;MenfessUnej;https://twitter.com/MenfessUnej/status/1703924869149364695
Mon Sep 18 14:19:45 +0000 2023;1703775822203785528;"-dips! di indomaret bunderan ada sosis keju gak";0;0;0;0;in;1177052356925513728;1703775822203785528;undipmenfess;https://twitter.com/undipmenfess/status/1703775822203785528
Mon Sep 18 13:14:39 +0000 2023;1703759441466998828;"guyss tiba tiba ngidam sosis keju indomaret😩 kalau cari jam segini pasti bakal habis ya? review yg udah pernah coba sosis keju indomaret fess";0;3;0;1;in;939277717966544896;1703759441466998828;FOODFESS2;https://twitter.com/FOODFESS2/status/1703759441466998828
Mon Sep 18 11:58:27 +0000 2023;1703740262290542965;"knp yh indomaret deket rumah setiap x ak beli sosis keju pasti abis trs, sp sebenernya yg sering borong 😭🫵🏻";0;0;0;0;in;1576983932607688706;1703740262290542965;aesthejisoo_;https://twitter.com/aesthejisoo_/status/1703740262290542965
Mon Sep 18 11:21:29 +0000 2023;1703730960825765971;"Hari senin yang begitu bahagia selain dapat pc rei ive WL dan ternyata indomaret deket rumah sudah jual sosis keju :))";0;0;0;0;in;1632195244665212928;1703730960825765971;beomgayung;https://twitter.com/beomgayung/status/1703730960825765971
Mon Sep 18 09:08:23 +0000 2023;1703697466108117194;"Gokar! Plis ini mah yg tau, sosis Indomaret rasa keju dimana ya yg ready, asli BM bgt 😔";0;2;0;1;in;1184031349100777475;1703697466108117194;karawangfess;https://twitter.com/karawangfess/status/1703697466108117194
Mon Sep 18 08:57:42 +0000 2023;1703694774589665752;"se susah itu nyari sosis indomaret yang keju";0;0;0;0;in;1353930347986083840;1703694774589665752;asahiheiter;https://twitter.com/asahiheiter/status/1703694774589665752
Mon Sep 18 07:25:35 +0000 2023;1703671593065676839;"-rek pgn sosis keju indomaret tapi aku keliling indomaret ket iko kok kosong terus ya, info nak sby sg ono sosis keju indomaret ndi plis😭😭";0;3;0;0;in;1152437175587241985;1703671593065676839;sbyfess;https://twitter.com/sbyfess/status/1703671593065676839
Mon Sep 18 07:06:38 +0000 2023;1703666826973188307;"Sosis indomaret yg keju enak juga ternyata Kirain hoax aja";0;0;0;0;in;1403058007961792514;1703666826973188307;xtracherryontop;https://twitter.com/xtracherryontop/status/1703666826973188307
